SS	0.835
AS	0.829
BS	0.826
CS	0.814
DS	0.812
ES	0.808
FS	0.81
GS	0.806
HS	0.796
STF	0.801
STS	0.828
STX	0.831
STR	0.838
STU	0.844
SSP	0.871
ASP	0.865
BSP	0.863
CSP	0.861
DSP	0.854
ESP	0.849
FSP	0.84
SSR	0.859
CAM-C	0.83
CAM-T	0.825
CAM-S	0.836
XP	0.905
BP	0.881
CP	0.864
DP	0.879
EP	0.874
FP	0.88
HC	0.841
SMF	0.853
SM	0.87
SSM	0.882
AM	1
BM	0.964
CM	0.919
DM	0.918
EM	0.922
FM	0.926
FSAE	0.984	
KM	0.955
JA	0.878
JB	0.842
JC	0.734
